nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Educación",16,0,"","","",0,"","","",50,"","","",0,"","","",50,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Berisso I","Ciudadanía y DD",25,0,"","","",0,"","","",28,"","","",0,"","","",28,"Buenos Aires","Comunidad","Otros",4
"Berisso I","Formación Laboral",13,0,"","","",8,"","","",6,"","","",0,"","","",14,"Buenos Aires","Oficios digitales","Otras",1
"Berisso I","Trámites",22,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Trámites Nacionales","Otros",1
"Berisso I","Cultura y Entretenimiento",31,0,"","","",20,"","","",70,"","","",0,"","","",90,"Buenos Aires","Artes","Otros",1
"Cañuelas","Formación Laboral",13,0,"","","",0,"","","",5,"","","",9,"","","",14,"Buenos Aires","Inserción al mundo laboral","Armado de CV",2
"Cañuelas","Trámites",22,0,"","","",0,"","","",16,"","","",13,"","","",29,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Carmen de Patagones","Cultura y Entretenimiento",31,0,"","","",12,"","","",85,"","","",10,"","","",107,"Buenos Aires","Artes","Otros",1
"Coronel Suárez I (Colonia Santa María)","Formación Laboral",13,0,"","","",0,"","","",4,"","","",2,"","","",6,"Buenos Aires","Oficios digitales","Otras",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,3,"","","",9,"","","",4,"","","",0,"","","",16,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",29,"","","",314,"","","",119,"","","",462,"Buenos Aires","Trámites Nacionales","Otros",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,2,"","","",31,"","","",11,"","","",6,"","","",50,"Buenos Aires","Uso Libre","Navegación libre",2
"Coronel Suarez II (CTC)","Educación",16,0,"","","",16,"","","",25,"","","",0,"","","",41,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",32,"","","",145,"","","",51,"","","",228,"Buenos Aires","Artes","Otros",1
"Dolores (CAJ)","Educación",16,0,"","","",2,"","","",10,"","","",0,"","","",12,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Dolores (CAJ)","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",2
"Dolores (CAJ)","Trámites",22,0,"","","",12,"","","",35,"","","",36,"","","",83,"Buenos Aires","Trámites Nacionales","Otros",2
"Dolores (CAJ)","Cultura y Entretenimiento",31,5,"","","",21,"","","",35,"","","",9,"","","",70,"Buenos Aires","Uso Libre","Navegación libre",1
