"NRO_HOGAR";"RESPONDENTE";"IP_III_04";"IP_III_05";"IP_III_06";"CODUSU";"AGLOMERADO";"POND_TIC";"TRIMESTRE";"ANO4";"COMPONENTE"
1;1;1;1;1;"TQRMNORUVHJMKQCDEFIAH00664961";2;569;4;2020;1
1;1;2;2;1;"TQRMNORUVHJMKQCDEFIAH00664961";2;569;4;2020;2
1;1;1;1;1;"TQRMNORUWHJMKQCDEFIAH00664962";2;569;4;2020;2
1;1;1;1;1;"TQRMNORUWHJMKQCDEFIAH00664962";2;569;4;2020;1
1;1;1;1;1;"TQRMNORUXHJMKQCDEFIAH00664963";2;569;4;2020;3
1;1;1;1;1;"TQRMNORUXHJMKQCDEFIAH00664963";2;569;4;2020;1
1;1;1;1;1;"TQRMNORUXHJMKQCDEFIAH00664963";2;569;4;2020;4
1;1;1;1;1;"TQRMNORUXHJMKQCDEFIAH00664963";2;569;4;2020;2
1;1;1;1;1;"TQRMNORVPHJMKQCDEFIAH00664964";2;569;4;2020;1
1;1;1;1;1;"TQRMNORVPHJMKQCDEFIAH00664964";2;569;4;2020;3
1;1;1;1;1;"TQRMNORVPHJMKQCDEFIAH00664964";2;569;4;2020;2
1;1;1;1;1;"TQRMNOQUWHJMKTCDEFIAH00664965";2;594;4;2020;3
1;1;1;1;1;"TQRMNOQUWHJMKTCDEFIAH00664965";2;594;4;2020;2
1;1;1;1;1;"TQRMNOQUWHJMKTCDEFIAH00664965";2;594;4;2020;4
1;1;1;1;1;"TQRMNOQUWHJMKTCDEFIAH00664965";2;594;4;2020;1
1;1;1;1;1;"TQRMNOQUXHJMKTCDEFIAH00664966";2;594;4;2020;2
1;1;1;1;1;"TQRMNOQUXHJMKTCDEFIAH00664966";2;594;4;2020;1
1;2;1;1;1;"TQRMNOSTVHJMKTCDEFIAH00664967";2;594;4;2020;4
1;2;1;1;1;"TQRMNOSTVHJMKTCDEFIAH00664967";2;594;4;2020;1
1;2;1;1;1;"TQRMNOSTVHJMKTCDEFIAH00664967";2;594;4;2020;5
1;2;1;1;1;"TQRMNOSTVHJMKTCDEFIAH00664967";2;594;4;2020;2
1;2;1;1;1;"TQRMNOSTVHJMKTCDEFIAH00664967";2;594;4;2020;3
1;1;2;2;1;"TQRMNOPQUHJMLOCDEFIAH00664968";2;586;4;2020;1
1;1;1;1;1;"TQRMNOQTWHJMLOCDEFIAH00664969";2;586;4;2020;2
1;1;1;1;1;"TQRMNOQTWHJMLOCDEFIAH00664969";2;586;4;2020;1
1;1;1;1;1;"TQRMNOQTWHJMLOCDEFIAH00664969";2;586;4;2020;3
1;1;1;1;1;"TQRMNOQTXHJMLOCDEFIAH00664970";2;586;4;2020;2
1;1;1;1;1;"TQRMNOQTXHJMLOCDEFIAH00664970";2;586;4;2020;1
1;1;2;2;1;"TQRMNOQUPHJMLOCDEFIAH00664971";2;586;4;2020;2
1;1;2;2;1;"TQRMNOQUPHJMLOCDEFIAH00664971";2;586;4;2020;1
1;1;1;1;1;"TQRMNOQSVHJMLPCDEFIAH00664972";2;591;4;2020;3
1;1;1;1;1;"TQRMNOQSVHJMLPCDEFIAH00664972";2;591;4;2020;1
1;1;1;1;1;"TQRMNOQSVHJMLPCDEFIAH00664972";2;591;4;2020;2
1;1;1;2;1;"TQRMNOQSXHJMLPCDEFIAH00664973";2;591;4;2020;1
1;1;1;2;2;"TQRMNOQSXHJMLPCDEFIAH00664973";2;591;4;2020;3
1;1;1;2;1;"TQRMNOQSXHJMLPCDEFIAH00664973";2;591;4;2020;2
1;1;1;2;1;"TQRMNORYQHJMLPCDEFIAH00664974";2;591;4;2020;2
1;1;1;2;1;"TQRMNORYQHJMLPCDEFIAH00664974";2;591;4;2020;1
1;1;1;2;2;"TQRMNORYQHJMLPCDEFIAH00664974";2;591;4;2020;3
1;1;1;1;2;"TQRMNORYQHJMLPCDEFIAH00664974";2;591;4;2020;4
1;1;1;2;1;"TQRMNORYRHJMLPCDEFIAH00664975";2;591;4;2020;2
1;1;1;2;1;"TQRMNORYRHJMLPCDEFIAH00664975";2;591;4;2020;1
1;1;1;2;1;"TQRMNORYRHJMLPCDEFIAH00664975";2;591;4;2020;3
1;1;1;1;1;"TQRMNORYTHJMLPCDEFIAH00664976";2;591;4;2020;4
1;1;1;1;1;"TQRMNORYTHJMLPCDEFIAH00664976";2;591;4;2020;3
1;1;1;1;1;"TQRMNORYTHJMLPCDEFIAH00664976";2;591;4;2020;1
1;1;1;1;1;"TQRMNORYTHJMLPCDEFIAH00664976";2;591;4;2020;2
1;1;1;2;2;"TQRMNORYUHJMLPCDEFIAH00664977";2;591;4;2020;3
1;1;1;1;1;"TQRMNORYUHJMLPCDEFIAH00664977";2;591;4;2020;2
1;1;1;1;1;"TQRMNORYUHJMLPCDEFIAH00664977";2;591;4;2020;1
1;1;2;1;1;"TQRMNOPSRHJMLSCDEFIAH00664978";2;543;4;2020;1
1;1;1;2;2;"TQRMNOQXQHJMLSCDEFIAH00664979";2;543;4;2020;3
1;1;1;1;1;"TQRMNOQXQHJMLSCDEFIAH00664979";2;543;4;2020;1
1;1;1;1;1;"TQRMNOQXQHJMLSCDEFIAH00664979";2;543;4;2020;2
1;1;1;1;1;"TQRMNOQXQHJMLSCDEFIAH00664979";2;543;4;2020;4
1;1;1;2;1;"TQRMNOQWWHJMLUCDEFIAH00664980";2;565;4;2020;2
1;1;1;1;1;"TQRMNOQWWHJMLUCDEFIAH00664980";2;565;4;2020;3
1;1;1;2;1;"TQRMNOQWWHJMLUCDEFIAH00664980";2;565;4;2020;1
1;2;1;1;1;"TQRMNOQXPHJMLUCDEFIAH00664981";2;565;4;2020;2
1;2;1;1;1;"TQRMNOQXPHJMLUCDEFIAH00664981";2;565;4;2020;1
1;2;1;2;1;"TQRMNOQXPHJMLUCDEFIAH00664981";2;565;4;2020;3
1;1;1;1;1;"TQRMNOPSWHJMMLCDEFIAH00664982";2;616;4;2020;1
1;1;1;1;1;"TQRMNOPSWHJMMLCDEFIAH00664982";2;616;4;2020;2
1;1;1;1;1;"TQRMNOPSWHJMMLCDEFIAH00664982";2;616;4;2020;4
1;1;1;1;1;"TQRMNOPSWHJMMLCDEFIAH00664982";2;616;4;2020;3
1;1;1;1;1;"TQRMNOQWQHJMMLCDEFIAH00664983";2;616;4;2020;1
1;1;1;1;1;"TQRMNOQWSHJMMLCDEFIAH00664984";2;616;4;2020;2
1;1;1;1;1;"TQRMNOQWSHJMMLCDEFIAH00664984";2;616;4;2020;3
1;1;1;1;1;"TQRMNOQWSHJMMLCDEFIAH00664984";2;616;4;2020;1
1;2;1;1;1;"TQRMNOQWUHJMMLCDEFIAH00664985";2;616;4;2020;3
1;2;1;2;1;"TQRMNOQWUHJMMLCDEFIAH00664985";2;616;4;2020;1
1;2;1;1;1;"TQRMNOQWUHJMMLCDEFIAH00664985";2;616;4;2020;4
1;2;1;1;1;"TQRMNOQWUHJMMLCDEFIAH00664985";2;616;4;2020;2
1;2;1;1;2;"TQRMNOQWUHJMMLCDEFIAH00664985";2;616;4;2020;5
1;1;1;1;1;"TQRMNOPRWHJNLRCDEFIAH00664986";2;409;4;2020;4
1;1;1;1;1;"TQRMNOPRWHJNLRCDEFIAH00664986";2;409;4;2020;1
1;1;1;2;2;"TQRMNOPRWHJNLRCDEFIAH00664986";2;409;4;2020;3
1;1;1;1;1;"TQRMNOPRWHJNLRCDEFIAH00664986";2;409;4;2020;2
1;1;1;2;1;"TQRMNOPRYHJNLRCDEFIAH00664987";2;409;4;2020;1
1;1;1;1;1;"TQRMNOPRYHJNLRCDEFIAH00664987";2;409;4;2020;4
1;1;1;2;1;"TQRMNOPRYHJNLRCDEFIAH00664987";2;409;4;2020;2
1;1;1;1;1;"TQRMNOPRYHJNLRCDEFIAH00664987";2;409;4;2020;5
1;1;1;1;1;"TQRMNOPRYHJNLRCDEFIAH00664987";2;409;4;2020;3
1;2;1;2;1;"TQRMNOPSPHJNLRCDEFIAH00664988";2;409;4;2020;2
1;2;1;2;1;"TQRMNOPSPHJNLRCDEFIAH00664988";2;409;4;2020;4
1;2;1;2;1;"TQRMNOPSPHJNLRCDEFIAH00664988";2;409;4;2020;1
1;2;1;2;1;"TQRMNOPSPHJNLRCDEFIAH00664988";2;409;4;2020;3
1;1;1;1;1;"TQRMNOQUPHJNLRCDEFIAH00664989";2;409;4;2020;1
1;1;1;2;1;"TQRMNORXUHJOKNCDEFIAH00664990";2;761;4;2020;1
1;1;1;2;1;"TQRMNORXUHJOKNCDEFIAH00664990";2;761;4;2020;3
1;1;1;2;1;"TQRMNORXUHJOKNCDEFIAH00664990";2;761;4;2020;2
1;1;2;2;2;"TQRMNORXVHJOKNCDEFIAH00664991";2;761;4;2020;3
1;1;1;2;1;"TQRMNORXVHJOKNCDEFIAH00664991";2;761;4;2020;2
1;1;1;2;1;"TQRMNORXVHJOKNCDEFIAH00664991";2;761;4;2020;1
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;6
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;5
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;1
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;2
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;3
1;2;2;2;2;"TQRMNORXYHJOKNCDEFIAH00664992";2;761;4;2020;4
1;2;1;1;1;"TQRMNOVQWHJOKNCDEFIAH00664993";2;761;4;2020;3
1;2;1;2;1;"TQRMNOVQWHJOKNCDEFIAH00664993";2;761;4;2020;2
